Cmdline: /system/bin/simpleperf record --app com.dualboot.apps.beach --add-meta-info app_type=debuggable --in-app --tracepoint-events /data/local/tmp/tracepoint_events --out-fd 3 --stop-signal-fd 4 -p 10208 -e cpu-clock:u -f 500 --call-graph fp --duration 12
Arch: arm64
Event: cpu-clock:u (type 1, config 0)
Samples: 4693
Event count: 9386000000

Overhead  Symbol
0.04%     !!!0000!e3b60c80fe20eb1af6023ec52988e7!0c393b63cf!
0.04%     BeachRuntime::memory(unsigned int, unsigned long)
0.04%     ContextsSerialized::GetPropAreaForName(char const*)
0.04%     Java_com_dualboot_engine_EngineInterface_Sleep
0.04%     [linker]BionicSmallObjectAllocator::free(void*)
0.04%     [linker]LinkerBlockAllocator::free(void*)
0.04%     [linker]SystemProperties::Get(char const*, char*)
0.04%     [linker]__aarch64_cas2_acq
0.04%     [linker]__aarch64_swp2_rel
0.04%     [linker]__libc_shared_globals()
0.04%     [linker]__strlen_aarch64
0.04%     [linker]__system_property_get
0.04%     [linker]android::properties::PropertyInfoArea::CheckPrefixMatch(char const*, android::properties::TrieNode const&, unsigned int*, unsigned int*) const
0.04%     [linker]android_namespace_t::is_accessible(soinfo*)
0.04%     [linker]free
0.04%     [linker]malloc
0.04%     [linker]operator new(unsigned long)
0.04%     [linker]solist_get_head()
0.04%     [linker]trace_begin_internal(char const*)
0.04%     __aarch64_ldadd4_rel
0.04%     __aarch64_ldadd4_relax
0.04%     __bionic_setjmp_cookie_get
0.04%     __cfi_slowpath
0.04%     __init_static_tls(void*)
0.04%     __vfprintf
0.04%     android::AsyncWorker::run()
0.04%     android::BufferQueueProducer::dequeueBuffer(int*, android::sp<android::Fence>*, unsigned int, unsigned int, int, unsigned long, unsigned long*, android::FrameEventHistoryDelta*)
0.04%     android::IPCThreadState::talkWithDriver(bool)
0.04%     android::ProcessState::init(char const*, bool)
0.04%     android::SurfaceComposerClient::Transaction::addTransactionCallback(std::__1::function<void (void*, long, android::sp<android::Fence> const&, std::__1::vector<android::SurfaceControlStats, std::__1::allocator<android::SurfaceControlStats> > const&)>, void*, android::CallbackId::Type)
0.04%     android::TransactionStats::TransactionStats(android::TransactionStats const&)
0.04%     android::egl_tls_t::getContext()
0.04%     android_fdsan_close_with_tag
0.04%     arm_mmu_idx_el_arm
0.04%     atrace_get_enabled_tags
0.04%     com.dualboot.c.g.run
0.04%     cpu_loop_exit_arm
0.04%     float32_compare_arm
0.04%     float32_sub_arm
0.04%     float64_to_float32_arm
0.04%     glDepthFunc
0.04%     glUniform1f
0.04%     glVertexAttribPointer
0.04%     gralloc::GetCustomDimensions(private_handle_t*, int*, int*) (.cfi)
0.04%     gralloc::GetRgbUBwcMetaBufferSize(int, int, unsigned int) (.cfi)
0.04%     helper_le_ldul_mmu_arm
0.04%     je_eset_insert
0.04%     je_eset_remove
0.04%     je_malloc
0.04%     libEGL_adreno.so[+5220]
0.04%     libEGL_adreno.so[+5234]
0.04%     libdbgengine.so[+14fd28]
0.04%     libdbgengine.so[+15d4b8]
0.04%     libdbgengine.so[+1613dc]
0.04%     libdbgengine.so[+1613f0]
0.04%     libdbgengine.so[+1616b8]
0.04%     libdbgengine.so[+168004]
0.04%     libdbgengine.so[+168010]
0.04%     libdbgengine.so[+168020]
0.04%     libdbgengine.so[+168e08]
0.04%     libdbgengine.so[+168f38]
0.04%     libdbgengine.so[+1733c0]
0.04%     libdbgengine.so[+173684]
0.04%     libdbgengine.so[+1739e4]
0.04%     libdbgengine.so[+1739e8]
0.04%     libdbgengine.so[+173a0c]
0.04%     libdbgengine.so[+173a14]
0.04%     libdbgengine.so[+173a34]
0.04%     libdbgengine.so[+173a4c]
0.04%     libdbgengine.so[+173a74]
0.04%     libdbgengine.so[+173a84]
0.04%     libdbgengine.so[+173ac4]
0.04%     libdbgengine.so[+173acc]
0.04%     libdbgengine.so[+174354]
0.04%     libdbgengine.so[+174384]
0.04%     libdbgengine.so[+1744ac]
0.04%     libdbgengine.so[+174524]
0.04%     libdbgengine.so[+174d2c]
0.04%     libdbgengine.so[+175708]
0.04%     libdbgengine.so[+1757c0]
0.04%     libdbgengine.so[+175800]
0.04%     libdbgengine.so[+175810]
0.04%     libdbgengine.so[+1759d0]
0.04%     libdbgengine.so[+1759d8]
0.04%     libdbgengine.so[+1759f8]
0.04%     libdbgengine.so[+176064]
0.04%     libdbgengine.so[+1764a8]
0.04%     libdbgengine.so[+1764b4]
0.04%     libdbgengine.so[+1764e4]
0.04%     libdbgengine.so[+1764e8]
0.04%     libdbgengine.so[+1764f0]
0.04%     libdbgengine.so[+176524]
0.04%     libdbgengine.so[+176534]
0.04%     libdbgengine.so[+17653c]
0.04%     libdbgengine.so[+2283a0]
0.04%     linker64[+1653d4]
0.04%     linker64[+165444]
0.04%     malloc
